# Credit: XHIP Catalog by Anderson E.; Francis C.
# Publisher: CDS
# Original Publication: Astronomy Letters, Volume 38, Issue 5, pp.331-346
HIP,RAJ2000,DEJ2000,pmRA,pmDE,Hpmag,Umag,Bmag,Vmag,Rmag,Imag,Tc,Lc
33579,104.65644415,-28.97208939,3.24,1.33,1.416,0.37,1.289,1.5,,1.7,21,3
34444,107.09785868,-26.39320762,-3.12,3.31,1.963,,2.501,1.83,,1.243,48,1
46390,141.89688204,-8.65868307,-14.4,33.3,2.135,,3.43,1.99,,0.771,63,3
82273,252.16610734,-69.02763509,17.97,-31.65,2.071,,3.357,1.91,,0.631,62,2
68702,210.9560192,-60.37297887,-33.27,-23.16,0.537,,0.379,0.61,,0.859,21,2
71683,219.92041034,-60.83514707,-3678.19,481.84,0.137,,0.7,-0.01,,-0.7,52,5
83369,255.58473202,-48.92079338,2.1,-5.5,9.031,,10.51,8.91,,9.053,0,0
86228,264.32969072,-42.99782155,6.06,-0.95,1.927,,2.266,1.86,,1.424,41,3
85927,263.40219318,-37.10374869,-8.53,-30.8,1.524,0.52,1.389,1.62,,1.847,21,4
85696,262.69099525,-37.29574034,-5.3,-29.9,2.604,1.64,2.521,2.7,,2.881,22,4
80763,247.35194829,-26.43194598,-12.11,-23.3,0.976,,2.925,1.06,,-1.613,71,1
60718,186.64975588,-63.09905674,-35.83,-14.86,0.674,,0.527,0.77,,0.893,20,4
62434,191.93049537,-59.68873246,-48.24,-12.82,1.154,0.04,1.012,1.25,,1.551,21,4
66657,204.9719697,-53.46636266,-15.3,-11.72,2.21,1.16,2.119,2.29,,2.477,21,3
61084,187.79137201,-57.11256917,28.23,-265.08,1.63,,3.19,1.59,,-0.538,73,3
67742,208.15170996,-50.9216035,-596.4,-45.9,7.518,,8.261,7.37,,6.504,60,5
68002,208.88514577,-47.28826623,-57.37,-44.55,2.442,1.42,2.374,2.55,,2.677,22,4
71352,218.87688121,-42.15774569,-34.73,-32.72,2.273,1.29,2.173,2.33,,2.476,21,5
68933,211.67218593,-36.36869558,-519.7,-519.2,2.223,,3.071,2.06,,1.18,60,3
78401,240.08338225,-22.62162024,-8.67,-36.9,2.262,1.3,2.173,2.29,,2.372,20,4
105214,319.68219439,-61.35172064,486.2,-431.3,6.729,,7.289,6.6,,5.936,55,5
100751,306.41187379,-56.73488065,6.9,-86.02,1.858,1.03,1.822,1.94,,1.998,23,5
112122,340.66639547,-46.8845658,135.01,-4.55,2.07,,3.68,2.07,,-0.301,74,3
113368,344.41177299,-29.6218368,328.95,-164.67,1.181,,1.315,1.17,,1.088,34,5
92207,281.8846409,-38.15896985,2.38,-5.4,10.129,,10.628,10.0,10.2,9.449,120,0
